NN_model/restful-blaze-14model.trc
ref_mesh,scan_mesh,Absolute deviation mean of single scan,Absolute deviation mean of average scan,Absolute deviation mean of CNN output,Absolute deviation mean of (single scan - average scan),Absolute deviation mean of (CNN output - average scan),STD of single scan,STD of average scan,STD of CNN output,STD of (single scan - average scan),STD of (CNN output - average scan)
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.2/L4.stl,0.08247315667828911,0.0871742135388129,0.07665526030007065,0.008439764541120286,0.019231870146873106,0.09359488257794137,0.09648995177170254,0.08368287927279056,0.013469895480330972,0.025966748849810466
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.2/L1.stl,0.08669223456317726,0.0871742135388129,0.08040159168686195,0.010851616506484718,0.01937976390126059,0.09894188107657842,0.09648995177170254,0.08818212885633582,0.01686699001782555,0.02685328669872544
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.2/L5.stl,0.08666762645219732,0.0871742135388129,0.08056239926839569,0.009359626207619041,0.017735124594157835,0.09831654449529946,0.09648995177170254,0.08802713333047406,0.013948337650399123,0.02531747224055411
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.1/20230615-3.stl,0.04529012893792937,0.04532459212585731,0.043981848427069384,0.010365253419676704,0.01652379453241561,0.07085305903325062,0.06950717449647809,0.06415414981694713,0.021086752590200552,0.025839803529691858
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.1/off20230620-1.stl,0.044512249898869954,0.04532459212585731,0.04322273595492023,0.010217749974077501,0.016025077600228255,0.07162341867597201,0.06950717449647809,0.06515289851224722,0.01917250446257727,0.024444809971198113
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.1/off20230620-2.stl,0.045438591678802064,0.04532459212585731,0.043892004292799776,0.00925135679500522,0.015132502114785045,0.07308606235481706,0.06950717449647809,0.06595155026142988,0.018838354185052652,0.023356463842758687
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.1/off20230620.stl,0.04943581326743326,0.04532459212585731,0.04772696088488644,0.01036218310373632,0.015524545227499246,0.07485244848789457,0.06950717449647809,0.06790299303623337,0.020077637753323264,0.023969267194141563
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.1/20230612.stl,0.045753561269913805,0.04532459212585731,0.0444308914232989,0.010975699826123984,0.016868341549832782,0.07112726390597503,0.06950717449647809,0.06466608065009966,0.022711740359735406,0.026921027198910336
cad_model/mod_nist_light_in_process.stl,scan_data/mod_nist_light_in_process.1/20230614-2.stl,0.04687682443315149,0.04532459212585731,0.045142840289697075,0.008511466540695492,0.014978011383496505,0.07244567468667039,0.06950717449647809,0.06544248762459995,0.018123380107774808,0.02338512344280466
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.3/4-5.stl,0.03535386830703272,0.033957596180915595,0.034469379625176315,0.005511003796803255,0.010958567461133231,0.050783414867714906,0.04920764056565109,0.04808475001457454,0.00776897679910132,0.014911586012875231
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.3/4-2.stl,0.035189348311708786,0.033957596180915595,0.034421856765635604,0.006131385888252094,0.01139749331215085,0.050679008579591615,0.04920764056565109,0.04814060010200744,0.008302351090242324,0.015458288042497952
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.3/4-1.stl,0.03351274333681215,0.033957596180915595,0.03311003454313358,0.005700769449393532,0.011618318485025243,0.04872765076885397,0.04920764056565109,0.04648948795016702,0.008674491429554105,0.01612459755548606
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.3/4-7.stl,0.03476569370864642,0.033957596180915595,0.03436321646487661,0.005313653722114892,0.011234334241884062,0.05101579454187235,0.04920764056565109,0.04831299219631047,0.007333204353932998,0.01473868526682276
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.3/4-6.stl,0.033307670388846494,0.033957596180915595,0.032962977666470425,0.005830741894498347,0.011729249502512884,0.047980575519508004,0.04920764056565109,0.04575160288120316,0.00829326312567888,0.0157066297636198
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.3/4-3.stl,0.03352674123123906,0.033957596180915595,0.03295379829976785,0.005859049186702587,0.011610679459668899,0.04878484565611722,0.04920764056565109,0.046410178517346704,0.008434351552054605,0.015727809505328972
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.3/4-4.stl,0.03479029304728573,0.033957596180915595,0.03410914585042315,0.004457716168892357,0.010656992617903028,0.05091442613190927,0.04920764056565109,0.04832287882760387,0.007121762998765966,0.014747286407160262
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.2/A3.stl,0.07493093705363496,0.07037003432229427,0.06848896114501342,0.019858182022463977,0.024192778120520363,0.10401819217096266,0.09799811131671667,0.09032757013533024,0.029674324384386212,0.03560821429454359
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.2/A6.stl,0.07296153728037176,0.07037003432229427,0.06674881611515357,0.018352393867609697,0.02383151316278992,0.10290355184279994,0.09799811131671667,0.08946583254363075,0.029810545926134312,0.0356454714533513
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.2/A1.stl,0.07411904993045301,0.07037003432229427,0.0676590079297479,0.017352279124525746,0.022759987037077357,0.1040707292174128,0.09799811131671667,0.09058262716915125,0.029832124517508996,0.035426984659098486
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.2/A5.stl,0.07064552624341582,0.07037003432229427,0.0646018519749192,0.016946673546233196,0.023138157763928784,0.1004661189440014,0.09799811131671667,0.08749424980376092,0.029322750537029978,0.036292150782491726
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.2/A2.stl,0.07202364462034844,0.07037003432229427,0.06588556522819634,0.021783826535724384,0.026894730264507543,0.10293688475719337,0.09799811131671667,0.0893770660733751,0.0388403140511645,0.04162844608788988
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.2/A4.stl,0.07216737480794558,0.07037003432229427,0.06570858144040699,0.018173023156754,0.02361774168602132,0.1024774437215925,0.09799811131671667,0.08875939063938217,0.027952625660171242,0.034918286698839916
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.1/L3.stl,0.03918378126254659,0.03880523874904118,0.03951498198761961,0.01951318635155981,0.023613889830016797,0.07069514543588393,0.06249206612465851,0.06326421595482648,0.03372860311751374,0.03441714407499665
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.1/L2.stl,0.03837556530161427,0.03880523874904118,0.039046627970255494,0.014653299903053443,0.019823644398428857,0.06741686950081373,0.06249206612465851,0.06107971452480707,0.02548110854552508,0.02848582682141531
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.1/L6.stl,0.04187325258492575,0.03880523874904118,0.04192206714330037,0.015298415996826733,0.019648924680512707,0.07275442964926411,0.06249206612465851,0.06507451616960121,0.026688440750478354,0.027986333779050625
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.1/L4.stl,0.03465251954123332,0.03880523874904118,0.03606578237697082,0.014485906919388837,0.02005420745412519,0.06211054714915494,0.06249206612465851,0.056771397230466716,0.02408441261327003,0.02830614241982527
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.1/L1.stl,0.06593743053238778,0.03880523874904118,0.060670312133673895,0.0540329701784793,0.05023946823298948,0.11158062619035364,0.06249206612465851,0.0931628018551556,0.09409038563282864,0.08063182576561535
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.1/L5.stl,0.03912195820075289,0.03880523874904118,0.039225772736998274,0.015107058594147694,0.019552743724816406,0.06998821767216257,0.06249206612465851,0.06196533949545505,0.02604925593779817,0.028051633691661734
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.1/L3.stl,0.0873058214793204,0.08590406337433659,0.07681747344704655,0.01348272638949347,0.023053062752347586,0.12924252634222197,0.12348880303690632,0.10759977052767164,0.02889729515893772,0.040223306355927635
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.1/L2.stl,0.0862064775738014,0.08590406337433659,0.0758535387751902,0.013853806834289908,0.02396876475803641,0.12731467505785377,0.12348880303690632,0.10603053433522223,0.030452950495018085,0.04158475736104084
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.1/L6.stl,0.08593154122741072,0.08590406337433659,0.07576055265811639,0.014135336501342244,0.024061365292666913,0.126988457712948,0.12348880303690632,0.10602193832127667,0.030800680127266607,0.04134600151837902
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.1/L7.stl,0.08820905707613323,0.08590406337433659,0.07756780940343534,0.015808316276999274,0.024334179518394637,0.13000483182754075,0.12348880303690632,0.10839456022964647,0.03204708942086535,0.0418431535300702
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.1/L4.stl,0.08707695827804224,0.08590406337433659,0.0767223803511334,0.020190140745484673,0.028214734351444615,0.1271579033362467,0.12348880303690632,0.10660363563164915,0.04043706749704357,0.046255997666619086
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.1/L1.stl,0.09062416774493338,0.08590406337433659,0.0797048783925462,0.024952585716132538,0.03102981325554953,0.13178337227145348,0.12348880303690632,0.10972131871634964,0.049224792564690645,0.05217847418889839
cad_model/test_part_2_light.stl,scan_data/test_part_2_light.1/L5.stl,0.08481048373502732,0.08590406337433659,0.07458472241543807,0.014917313003116345,0.024664979625780604,0.1266484709441543,0.12348880303690632,0.10531842887516112,0.03119366786077145,0.04099495138296734
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.4/U72.stl,0.047288519153193716,0.04625276171127606,0.046070100343667,0.013630036379583153,0.019819364360693797,0.08553933640340122,0.07911431869334581,0.07310409846415612,0.029187994056341957,0.03315424426909045
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.4/U71.stl,0.042568284962123434,0.04625276171127606,0.04221549094851805,0.01856823870463874,0.02469256242527528,0.081581711636545,0.07911431869334581,0.07098614214873772,0.03647460079215956,0.039118336918544924
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.4/U75.stl,0.044184807164762765,0.04625276171127606,0.04341420011052595,0.00967182958252712,0.017852543656234104,0.08141635683617102,0.07911431869334581,0.07011606281211757,0.02202773861257152,0.029529230569129507
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.4/U74.stl,0.04518564869231315,0.04625276171127606,0.04453506031674143,0.013092021716574925,0.01954990198987453,0.08038453062493313,0.07911431869334581,0.07058222300638899,0.024785959832696134,0.030737544634416473
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.4/U73.stl,0.0585009072798699,0.04625276171127606,0.05514676876606517,0.018318312451154502,0.022329807273363693,0.09804683136038007,0.07911431869334581,0.08349033231448039,0.045812150410183466,0.04101226614508115
